item_number,type_verband,A,B,C,D,Ans1,Ans2,Ans3,Ans4,semantic_distance_near_far,distractor_salience_high_low,type_relation_jones,result_w2v,result_ft,result_mgpt,result_gpt2,result_bertje,result_robbert,result_xlmv,result_gpt3,prob_correct_children,prob_correct_7,prob_correct_8,prob_correct_9,prob_correct_10,prob_correct_11,prob_correct_12
88,classificatie,muis,knaagdier,postbode,beroep,dier,brandweerman,pakjes,postzegel,far,high,categorical,0,0,NA,NA,0,0,0,0,0.0947692851860329,0.00335476324274848,0.0107356203904562,0.0297413795941684,0.0593172926593481,0.117347001063482,0.201799812610775
109,classificatie,groen,kleur,honderd,getal,euro,duur,centimeter,duizend,far,high,categorical,0,0,NA,0,0,1,1,1,0.548717051619676,0.0376233586332442,0.111931528696695,0.262543475881402,0.422755447327688,0.606932470054429,0.745954198962727
401,hoort bij elkaar,vis,aquarium,tijd,minuut,lang,nacht,gewicht,langzaam,far,high,categorical,1,1,NA,NA,0,0,0,0,0.999623231755221,0.9884131994647,0.996377109220185,0.998714375985581,0.999374630876425,0.99970328780178,0.999843947919289
703,probleem - oplossing,honger,eten,breuk,gips,brand,rekenen,scheiding,vallen,far,high,causal,0,0,NA,NA,0,0,0,0,0.06756265936848,0.00232428530423173,0.00745493334813048,0.0207747102943417,0.0418181536520467,0.0842620394998718,0.148921472507145
706,probleem - oplossing,herrie,oordopjes,ziekte,medicijnen,beter,koorts,knuffel,oorpijn,far,high,causal,0,0,NA,NA,0,1,0,0,0.606466029431167,0.0472100412948666,0.137742424144838,0.310925187027605,0.481388799228515,0.661823068872634,0.788205530161859
243,delen een eigenschap,brandweerauto,roos,water,glas,paars,zee,wanten,safari,far,high,compositional,0,0,NA,0,NA,0,0,1,0.00482643528450029,0.000155909614267674,0.000502476586076788,0.00141800141875946,0.0029126660418034,0.00612117456136436,0.0115763432875686
441,item - eigenschap,rots,hard,veer,licht,gans,pen,veren,vliegen,far,high,compositional,0,0,0,1,1,1,1,0,0.591746734643179,0.04452838554068,0.130623299852857,0.297948137662013,0.466109659549705,0.647972442298646,0.777793206315823
416,item - eigenschap,water,nat,rodekool,rood,fruit,bos,omhakken,zingen,far,high,compositional,0,0,NA,1,1,1,0,1,0.999468853291568,0.983740292349928,0.994899438780995,0.99818827441528,0.999118479564417,0.999581698082754,0.999779986637186
849,teken van,knuffelen,liefde,gapen,vermoeidheid,laat,slapen,mond,tong,far,high,NA,0,0,NA,NA,0,0,0,0,0.0367138622776675,0.00122392794277306,0.0039352180358892,0.0110362219406747,0.0224412714294056,0.0461658972051524,0.0842824072708585
862,teken van,sirene,hulpdienst,luxe,rijk,Ferrari,snel rijden,mooi,benzine,far,high,NA,NA,NA,NA,1,0,1,0,0,0.242534504315796,0.0101900299126134,0.0321245178250809,0.0857151298541784,0.161678140476849,0.289073864691733,0.436058831949949
836,tegengestelden,groot,klein,voor,achter,hier,daar,overal,das,far,high,NA,0,1,0,0,0,0,1,0,0.999691565015058,0.990495329179556,0.997032433633266,0.998947371952891,0.9994880289956,0.999757105078777,0.999872255705111
