,item_number,row_number,type_verband,A,B,C,D,Ans1,Ans2,Ans3,Ans4,semantic_distance_near_far,distractor_salience_high_low,type_relation_jones
1,88,72,classificatie,muis,knaagdier,postbode,beroep,dier,brandweerman,pakjes,postzegel,far,high,categorical
2,109,93,classificatie,groen,kleur,honderd,getal,euro,duur,centimeter,duizend,far,high,categorical
3,401,375,hoort bij elkaar,vis,aquarium,tijd,minuut,lang,nacht,gewicht,langzaam,far,high,categorical
4,703,647,probleem - oplossing,honger,eten,breuk,gips,brand,rekenen,scheiding,vallen,far,high,causal
5,706,650,probleem - oplossing,herrie,oordopjes,ziekte,medicijnen,beter,koorts,knuffel,oorpijn,far,high,causal
6,243,226,delen een eigenschap,brandweerauto,roos,water,glas,paars,zee,wanten,safari,far,high,compositional
7,441,413,item - eigenschap,rots,hard,veer,licht,gans,pen,veren,vliegen,far,high,compositional
8,416,388,item - eigenschap,water,nat,rodekool,rood,fruit,bos,omhakken,zingen,far,high,compositional
9,849,782,teken van,knuffelen,liefde,gapen,vermoeidheid,laat,slapen,mond,tong,far,high,NA
10,862,789,teken van,sirene,hulpdienst,luxe,rijk,Ferrari,snel rijden,mooi,benzine,far,high,NA
11,836,773,tegengestelden,groot,klein,voor,achter,hier,daar,overal,das,far,high,NA
12,312,293,dezelfde categorie,step,fiets,kabouter,heks,timmerman,juffrouw,Duitser,Chinees,far,low,categorical
13,363,340,hoort bij elkaar,vis,aquarium,aarde,heelal,water,ster,hond,spiegel,far,low,categorical
14,78,62,classificatie,België,land,armband,sieraad,ring,dier,kleur,plant,far,low,categorical
15,54,40,actie-resultaat,zwartrijden,boete,zaaien,plant,aarde,haaien,akker,boer,far,low,causal
16,921,827,uitvoerder - actie,winkelier,verkopen,zanger,zingen,muziek,vals,valideren,toonsoort,far,low,causal
17,948,853,uitvoerder - actie,tuinier,tuinieren,kapper,knippen,schrijven,poetsen,vliegen,regenen,far,low,causal
18,212,196,delen een eigenschap,horloge,klok,brief,e-mail,letter,tijd,minuten,papier,far,low,compositional
19,202,186,delen een eigenschap,stofzuiger,bezem,bril,lenzen,trui,aardappel,gezicht,ogen,far,low,compositional
20,179,163,deel - geheel,veter,schoen,klok,kerk,god,bidden,moskee,geloof,far,low,compositional
21,885,801,teken van,snurken,slapen,kus,liefde,hoofdkussen,balen,leuk,lippen,far,low,NA
22,884,800,teken van,zweten,inspanning,kus,liefde,hoofdkussen,balen,leuk,lippen,far,low,NA
23,737,677,synoniem,perfect,ideaal,rondje,cirkel,heks,klok,water,film,far,low,NA
24,395,370,hoort bij elkaar,gracht,kasteel,tuin,huis,park,tonijn,moestuin,puin,near,high,categorical
25,369,346,hoort bij elkaar,avond,diner,middag,lunch,ochtend,soep,computer,agenda,near,high,categorical
26,375,351,hoort bij elkaar,vriezen,koud,zon,warmte,planeet,wolken,weer,koude,near,high,categorical
